components/booking/invalidGoodsDescription,Invalid Goods Description,貨品種類無效,无效货品种类,品名が無効です,Descpción de mercancía incorrecta,Ungültige Warenbeschreibung,,,,,,,,,,,,,,,,,,,,,
components/booking/invalidSHC,Invalid Special Handling Code,特殊處理代碼無效,无效特殊处理代码,Invalid Special Handling Code,Invalid Special Handling Code,Invalid Special Handling Code,,,,,,,,,,,,,,,,,,,,,
components/shipmentDetail/title,Shipment Details,貨物資料,货物资料,輸送詳細,Shipment Details,Shipment Details,,,,,,,,,,,,,,,,,,,,,
components/shipmentDetail/weightType,Weight Type,重量類別,重量类别,重量タイプ,Weight Type,Weight Type,,,,,,,,,,,,,,,,,,,,,
components/shipmentDetail/nonStackable,Non-Stackable,不可堆叠,不可堆叠,段積み禁止,No apilable,nicht stapelbar,,,,,,,,,,,,,,,,,,,,,
components/shipmentDetail/addPieceGroup,Add piece group,增加件組,增加件组,アイテムグループを追加,Add piece group,Add piece group,,,,,,,,,,,,,,,,,,,,,
components/shipmentDetailItem/invalidPiece,Invalid Piece,件數無效,无效件数,個数が無効です,Piezas incorrectas,Ungültige Stückzahl,,,,,,,,,,,,,,,,,,,,,
components/shipmentDetailItem/invalidLength,Invalid Length,長度無效,长度无效,長さ無効です,Invalid Length,Invalid Length,,,,,,,,,,,,,,,,,,,,,
components/shipmentDetailItem/invalidWidth,Invalid Width,寬度無效,宽度无效,幅無効です,Invalid Width,Invalid Width,,,,,,,,,,,,,,,,,,,,,
components/shipmentDetailItem/invalidHeight,Invalid Height,高度無效,高度无效,高さ無効です,Invalid Height,Invalid Height,,,,,,,,,,,,,,,,,,,,,
components/shipmentDetailItem/invalidVolume,Invalid Volume,體積無效,无效体积,ボリュームが無効です,Volumen incorrecto,Invalid Volume,,,,,,,,,,,,,,,,,,,,,
components/shipmentDetailItem/invalidWeight,Invalid Weight,重量無效,无效重量,重量が無効です,Peso incorrecto,Ungültiges Gewicht,,,,,,,,,,,,,,,,,,,,,
components/shipmentDetailItem/copy,Copy,複製,复制,コピー,Copy,Copy,,,,,,,,,,,,,,,,,,,,,
components/shipmentDetailItem/clear,Clear,清除,清除,クリア,Clear,Clear,,,,,,,,,,,,,,,,,,,,,
components/settings/title,Settings,篩選條件,筛选条件,設定,Settings,Settings,,,,,,,,,,,,,,,,,,,,,
components/settings/resetAll,Reset All,全部重設,全部重设,全てリセット,Reset All,Reset All,,,,,,,,,,,,,,,,,,,,,
components/settings/reset,Reset,重設,重设,リセット,Reset,Reset,,,,,,,,,,,,,,,,,,,,,
components/settings/time,Time,時間,时间,時間,Tiempo,Zeit,,,,,,,,,,,,,,,,,,,,,
components/settings/departureTime,Departure Time,出發時間,出发时间,出発時間,Departure Time,Departure Time,,,,,,,,,,,,,,,,,,,,,
components/settings/arrivalTime,Arrival Time,抵達時間,抵达时间,到着時間,Arrival Time,Arrival Time,,,,,,,,,,,,,,,,,,,,,
components/settings/airlines,Airlines,航空公司,航空公司,航空会社,Aerolínea,Airlines,,,,,,,,,,,,,,,,,,,,,
components/settings/allServiceMode,All,所有,所有,すべて,All,All,,,,,,,,,,,,,,,,,,,,,
components/settings/airAndVessel,Air and Vessel,空運及海運,空运及海运,空輸と海運,Air and Vessel,Air and Vessel,,,,,,,,,,,,,,,,,,,,,
components/settings/airAndTruck,Air and Truck,空運及陸運,空运及陆运,空輸とトラック,Air and Truck,Air and Truck,,,,,,,,,,,,,,,,,,,,,
components/settings/airOnly,Air Only,空運,空运,空輸のみ,Air Only,Air Only,,,,,,,,,,,,,,,,,,,,,
components/settings/currency,Currency,幣別,币别,通貨,Currency,Currency,,,,,,,,,,,,,,,,,,,,,
components/settings/any,Any,不限,不限,任意,Any,Any,,,,,,,,,,,,,,,,,,,,,
components/settings/departureTimeTooltip,Please go back to Search Flight to adjust the departure time from,請回到搜尋航班頁面調整出發時間(從),请返回搜索航班页面调整出发时间(从),出発時間を調整するために、検索フライトに戻ってください,Please go back to Search Flight to adjust the departure time from,Please go back to Search Flight to adjust the departure time from,,,,,,,,,,,,,,,,,,,,,
components/flightCard/flightDetails,Flight Details,Flight Details,Flight Details,Flight Details,Flight Details,Flight Details,,,,,,,,,,,,,,,,,,,,,
components/flightCard/allotment,Allotment,艙位,舱位,割り当て,Allotment,Allotment,,,,,,,,,,,,,,,,,,,,,
components/flightCard/instantConfirmation,Instant Confirmation,艙位即時確認,舱位即时确认,即時確認,Instant Confirmation,Instant Confirmation,,,,,,,,,,,,,,,,,,,,,
components/flightCard/details,Details,詳情,详情,詳細,Details,Details,,,,,,,,,,,,,,,,,,,,,
components/flightCard/contactSales,Contact Airline for Rate,聯繫航空公司獲取價格,联系航空公司获取价格,運賃の確認のために航空会社に連絡してください,Contact Airline for Rate,Contact Airline for Rate,,,,,,,,,,,,,,,,,,,,,
components/flightCard/up,up,起,起,以上,up,up,,,,,,,,,,,,,,,,,,,,,
components/flightCard/numOfService,{service} options available,{service} 選項可訂,{service} 选项可订,{service} のオプションが利用可能です,{service} rates available,{service} rates available,,,,,,,,,,,,,,,,,,,,,
components/flightCard/exceedLimit,Exceed limit,超過限制,超过限制,限界を超える,Exceed limit,Exceed limit,,,,,,,,,,,,,,,,,,,,,
components/flightCard/general,General,一般貨物,一般货物,一般貨物,General,General,,,,,,,,,,,,,,,,,,,,,
components/flightCard/book,Book,訂艙,订舱,予約,Reservas,Buchungen,,,,,,,,,,,,,,,,,,,,,
components/flightCardDetail/stopover,Stopover,中轉站,中转站,途中停留,Stopover,Stopover,,,,,,,,,,,,,,,,,,,,,
components/departureDateSelector/invalidDepartureDate,Invalid Departure Date,出發日期無效,出发日期无效,出発日が無効です,Invalid Departure Date,Invalid Departure Date,,,,,,,,,,,,,,,,,,,,,
components/departureDateSelector/daysShort/monday,M,一,一,月,M,M,,,,,,,,,,,,,,,,,,,,,
components/departureDateSelector/daysShort/tuesday,T,二,二,火,T,T,,,,,,,,,,,,,,,,,,,,,
components/departureDateSelector/daysShort/wednesday,W,三,三,水,W,W,,,,,,,,,,,,,,,,,,,,,
components/departureDateSelector/daysShort/thursday,T,四,四,木,T,T,,,,,,,,,,,,,,,,,,,,,
components/departureDateSelector/daysShort/friday,F,五,五,金,F,F,,,,,,,,,,,,,,,,,,,,,
components/departureDateSelector/daysShort/saturday,S,六,六,土,S,S,,,,,,,,,,,,,,,,,,,,,
components/departureDateSelector/daysShort/sunday,S,日,日,日,S,S,,,,,,,,,,,,,,,,,,,,,
components/airportInfo/nearbyTooltip,Include nearby airport results,包含附近機場的航班結果,包含附近机场的航班结果,近隣空港の結果を含める,Include nearby airport results,Include nearby airport results,,,,,,,,,,,,,,,,,,,,,
components/timer/min,min,分,分,分,min,min,,,,,,,,,,,,,,,,,,,,,
components/timer/sec,sec,秒,秒,秒,sec,sec,,,,,,,,,,,,,,,,,,,,,
